"nodes","p1","p2","p4","p8","p16","p24"
1000,5.61,8.46,9.82,11.47,17.8,26.8
3000,18.3,26.73,30.57,36.03,54.92,79.49
10000,67.14,87.64,95.38,103.65,138.11,195.99
25000,183.11,226.4,250.01,273.61,353.67,493.21
50000,395.89,483.08,509.94,575.06,668.24,976.0
75000,595.07,719.28,764.64,840.37,1037.86,1447.09
100000,889.55,985.27,994.47,1050.21,1226.9,1462.27
300000,3067.18,3319.96,3313.69,3449.14,4066.04,4839.58
500000,5743.32,6039.01,5988.97,5963.02,6409.64,7381.28
