#SimGrid commit d321137
#		constant					precise
#size/thread	1	2	4	8	16	24	1	2	4	8	16	24
1000		3.24	5.66	8.22	10.53	11.58	13.14	4.84	7.47	10.22	12.66	14.38	15.73
3000		11.99	19.11	24.73	31.00	35.92	38.08	16.70	24.96	31.60	38.21	45.97	47.91
5000            24.10   37.14   45.97   59.33   62.75   69.96   27.90  	41.69  	 ?  	65.67  73.82   85.02
10000		62.77	89.21	99.23	122.24	134.58	148.18	62.24	94.77	112.10	148.48	151.03	171.27
30000		errSig	errSig	errSig	errSig	errSig	501.43	errSig	302.79	errSig	errSig	errSig	521.52
