#id_sr	time_taken	num_proccess
1	0.0	0
2	1.5e-05	1
3	1e-05	1
4	2e-06	1
5	2e-06	2
6	2e-06	4
7	2e-06	8
8	2e-06	2
9	2e-06	5
10	2e-06	17
11	2e-06	26
12	2e-06	37
13	2e-06	47
14	2e-06	60
15	2e-06	50
16	2e-06	46
17	2e-06	37
18	2e-06	20
19	2e-06	10
20	2e-06	5
21	2e-06	4
22	2e-06	2
23	2e-06	4
24	1e-05	1
25	2e-06	1
26	1e-06	1
27	1e-06	2
28	2e-06	1
29	2e-06	2
30	2e-06	4
31	2e-06	5
32	2e-06	5
33	2e-06	12
34	2e-06	22
35	2e-06	24
36	2e-06	22
37	2e-06	20
38	2e-06	14
39	2e-06	3
40	2e-06	4
41	2e-06	8
42	2e-06	25
43	2e-06	10
44	2e-06	6
45	2e-06	4
46	9e-06	1
47	1e-06	1
48	1e-06	1
49	2e-06	1
50	2e-06	2
51	2e-06	3
52	2e-06	8
53	6e-06	1
54	6e-06	4
55	6e-06	4
56	6e-06	12
57	6e-06	16
58	6e-06	18
59	6e-06	26
60	6e-06	22
61	6e-06	22
62	6e-06	16
63	6e-06	9
64	6e-06	4
65	8e-06	1
66	8e-06	6
67	8e-06	2
68	8e-06	3
69	2e-06	1
70	2e-06	11
71	2e-06	3
72	1e-05	1
73	8e-06	1
74	1e-06	1
75	2e-06	1
76	2e-06	2
77	2e-06	2
78	2e-06	1
79	2e-06	1
80	2e-06	3
81	2e-06	2
82	2e-06	5
83	2e-06	4
84	2e-06	10
85	2e-06	6
86	2e-06	2
87	2e-06	3
88	2e-06	4
89	2e-06	4
90	2e-06	2
91	2e-06	2
92	2e-06	4
93	2e-06	3
94	2e-06	5
95	2e-06	4
96	2e-06	3
97	2e-06	1
98	2e-06	2
99	2e-06	1
100	2e-06	1
101	2e-06	2
102	2e-06	5
103	2e-06	1
104	2e-06	1
105	2e-06	5
106	2e-06	3
107	8e-06	1
108	1.3e-05	1
109	1e-06	1
110	1e-06	1
111	1e-06	3
112	1e-06	4
113	1e-06	1
114	1e-06	1
115	1e-06	1
116	1e-06	1
117	1e-06	6
118	1e-06	4
119	1e-06	5
120	1e-06	5
121	1e-06	5
122	1e-06	5
123	1e-06	5
124	1e-06	7
125	1e-06	6
126	1e-06	14
127	1e-06	9
128	1e-06	2
129	1e-06	3
130	4e-06	1
131	4e-06	5
132	4e-06	2
133	2e-06	1
134	2e-06	4
135	2e-06	2
136	2e-06	3
137	2e-06	1
138	2e-06	8
139	2e-06	2
140	1e-06	1
141	1e-06	2
142	1e-06	1
143	1e-06	1
144	1e-06	2
145	1e-06	2
146	1e-06	6
147	1e-06	7
148	1e-06	2
149	1e-06	2
150	1e-06	1
151	1e-06	9
152	1e-06	9
153	1e-06	1
154	1e-06	2
155	1e-06	4
156	1e-06	6
157	9e-06	1
158	9e-06	2
159	1e-06	1
160	2e-06	1
161	2e-06	1
162	2e-06	1
163	3e-06	1
164	3e-06	2
165	2e-06	1
166	2e-06	1
167	8e-06	1
168	3e-06	1
169	3e-06	2
170	5e-06	1
171	3e-06	1
172	7e-06	1
173	7e-06	2
174	7e-06	1
175	1e-06	1
176	1e-06	2
177	2e-06	1
178	2e-06	2
179	2e-06	4
180	2e-06	1
181	2e-06	2
182	2e-06	3
183	2e-06	2
184	1e-06	1
185	1e-06	3
186	1e-06	5
187	1e-06	3
188	1e-06	1
189	1e-06	1
190	1e-06	3
191	1e-06	2
192	1e-06	2
193	1e-06	4
194	2e-06	1
195	2e-06	3
196	8e-06	1
197	8e-06	2
198	1e-06	1
199	1e-06	2
200	2e-06	1
201	2e-06	1
202	7e-06	1
203	7e-06	2
204	7e-06	2
205	1e-06	1
206	7e-06	1
207	1e-06	1
208	9e-06	1
209	8e-06	1
210	6e-06	1
211	8e-06	1
212	1e-06	1
213	2e-06	1
214	9e-06	1
215	2e-06	1
216	3e-06	1
217	5e-06	1
218	1.1e-05	1
219	4e-06	1
220	2e-06	1
221	3e-06	1
222	3e-06	1
223	5e-06	1
224	8e-06	1
225	8e-06	2
226	4e-06	1
227	3e-06	1
228	2e-06	1
229	2e-06	5
230	1e-06	1
231	3e-06	1
232	3e-06	2
233	1e-06	1
234	1e-06	2
235	1e-06	3
236	1e-06	6
237	2e-06	1
238	2e-06	3
239	1e-06	1
240	1e-06	2
241	2e-06	1
242	2e-06	2
243	2e-06	3
244	2e-06	1
245	2e-06	2
246	2e-06	3
247	1e-06	1
248	1e-06	2
249	1e-06	2
250	1e-06	3
251	1e-06	2
252	1e-06	3
253	1e-06	1
254	1e-06	5
255	1e-06	1
256	2e-06	1
257	7e-06	1
258	8e-06	1
259	1e-06	1
260	1e-06	2
261	1e-06	1
262	1e-06	3
263	1e-06	1
264	8e-06	1
265	8e-06	4
266	8e-06	2
267	8e-06	5
268	1e-06	1
269	3e-06	1
270	3e-06	3
271	8e-06	1
272	8e-06	5
273	8e-06	6
274	8e-06	8
275	8e-06	3
276	1e-06	1
277	6e-06	1
278	6e-06	12
279	5e-06	1
280	5e-06	3
281	5e-06	1
282	5e-06	3
283	6e-06	1
284	6e-06	5
285	3e-06	1
286	3e-06	4
287	5e-06	1
288	5e-06	3
289	3e-06	1
290	3e-06	6
291	1e-06	1
292	1e-06	10
293	1e-06	2
294	1e-06	5
295	1e-06	2
296	1e-06	2
297	6e-06	1
298	1e-06	1
299	1e-06	2
300	2e-06	1
301	7e-06	1
302	1e-06	1
303	1e-06	2
304	2e-06	1
305	1e-06	1
306	1e-06	5
307	1e-06	3
308	1e-06	4
309	1e-06	2
310	1e-06	4
311	1e-06	2
312	1e-06	4
313	2e-06	1
314	2e-06	4
315	1e-06	1
316	1e-06	2
317	1e-06	5
318	2e-06	1
319	2e-06	3
320	2e-06	2
321	3e-06	1
322	1e-06	1
323	6e-06	1
324	6e-06	2
325	1e-06	1
326	1e-06	2
327	1e-06	1
328	1e-06	1
329	1e-06	4
330	2e-06	1
331	7e-06	1
332	1e-06	1
333	1e-06	2
334	6e-06	1
335	1e-06	1
336	6e-06	1
337	6e-06	2
338	8e-06	1
339	8e-06	2
340	8e-06	3
341	8e-06	4
342	2e-06	1
343	1e-06	1
344	7e-06	1
345	1e-06	1
346	1e-06	2
347	1e-06	2
348	2e-06	1
349	2e-06	2
350	2e-06	1
351	2e-06	1
352	2e-06	5
353	2e-06	8
354	2e-06	1
355	2e-06	8
356	2e-06	3
357	2e-06	2
358	2e-06	4
359	1e-06	1
360	2e-06	1
361	2e-06	6
362	2e-06	2
363	2e-06	1
364	2e-06	9
365	2e-06	2
366	2e-06	2
367	2e-06	2
368	2e-06	6
369	2e-06	3
370	2e-06	1
371	2e-06	4
372	2e-06	1
373	2e-06	4
374	2e-06	1
375	2e-06	2
376	2e-06	1
377	2e-06	5
378	2e-06	7
379	2e-06	1
380	2e-06	1
381	2e-06	2
382	2e-06	3
383	2e-06	3
384	2e-06	3
385	2e-06	1
386	6e-06	1
387	6e-06	3
388	6e-06	5
389	6e-06	4
390	6e-06	4
391	6e-06	3
392	2e-06	1
393	2e-06	4
394	2e-06	2
395	2e-06	6
396	2e-06	3
397	2e-06	2
398	2e-06	4
399	2e-06	6
400	2e-06	1
401	2e-06	2
402	2e-06	1
403	2e-06	2
404	2e-06	3
405	2e-06	3
406	2e-06	2
407	2e-06	1
408	2e-06	5
409	1.1e-05	1
410	1.1e-05	3
411	1.1e-05	2
412	1.1e-05	2
413	2e-06	1
414	2e-06	1
415	8e-06	1
416	8e-06	3
417	8e-06	2
418	2e-06	1
419	2e-06	1
420	2e-06	4
421	2e-06	3
422	2e-06	1
423	6e-06	1
424	6e-06	2
425	6e-06	1
426	6e-06	2
427	1e-06	1
428	1e-06	2
429	5e-06	1
430	5e-06	2
431	5e-06	2
432	5e-06	2
433	5e-06	2
434	5e-06	2
435	5e-06	3
436	5e-06	3
437	2e-06	1
438	6e-06	1
439	6e-06	3
440	2e-06	1
441	1e-06	1
442	5e-06	1
443	5e-06	3
444	1e-06	1
445	1e-06	1
446	1e-06	3
447	1e-06	3
448	1e-06	2
