#id_sr	time_taken	num_proccess
1	0.0	0
2	2.4e-05	1
3	1.6e-05	1
4	2e-06	1
5	2e-06	2
6	2e-06	4
7	2e-06	8
8	2e-06	1
9	2e-06	6
10	2e-06	8
11	2e-06	10
12	2e-06	34
13	2e-06	49
14	2e-06	52
15	2e-06	71
16	2e-06	79
17	2e-06	87
18	2e-06	113
19	2e-06	96
20	2e-06	84
21	2e-06	62
22	2e-06	42
23	2e-06	29
24	2e-06	14
25	2e-06	9
26	2e-06	10
27	2e-06	4
28	2e-06	2
29	3e-06	1
30	3e-06	2
31	1.1e-05	1
32	2e-06	1
33	2e-06	1
34	2e-06	2
35	2e-06	4
36	2e-06	8
37	2e-06	3
38	2e-06	9
39	2e-06	6
40	2e-06	23
41	2e-06	36
42	2e-06	48
43	2e-06	57
44	2e-06	58
45	2e-06	45
46	2e-06	41
47	2e-06	33
48	2e-06	22
49	2e-06	9
50	2e-06	3
51	2e-06	3
52	2e-06	6
53	2e-06	2
54	3e-06	1
55	3e-06	17
56	3e-06	18
57	3e-06	6
58	3e-06	3
59	3e-06	2
60	1e-05	1
61	2e-06	1
62	2e-06	1
63	2e-06	2
64	2e-06	4
65	2e-06	1
66	2e-06	4
67	2e-06	10
68	2e-06	2
69	2e-06	5
70	2e-06	4
71	2e-06	13
72	2e-06	21
73	2e-06	42
74	2e-06	38
75	2e-06	33
76	2e-06	35
77	2e-06	52
78	2e-06	42
79	2e-06	35
80	2e-06	20
81	2e-06	19
82	2e-06	9
83	2e-06	6
84	2e-06	4
85	2e-06	3
86	1e-05	1
87	9e-06	1
88	8e-06	1
89	8e-06	8
90	8e-06	6
91	8e-06	4
92	8e-06	2
93	8e-06	2
94	2e-06	1
95	2e-06	1
96	2e-06	2
97	2e-06	1
98	2e-06	1
99	2e-06	7
100	2e-06	3
101	2e-06	1
102	2e-06	2
103	2e-06	2
104	2e-06	2
105	1.2e-05	1
106	9e-06	1
107	2e-06	1
108	2e-06	2
109	2e-06	2
110	2e-06	1
111	2e-06	2
112	2e-06	2
113	3e-06	1
114	3e-06	2
115	3e-06	5
116	3e-06	4
117	3e-06	7
118	3e-06	12
119	3e-06	18
120	3e-06	11
121	3e-06	19
122	3e-06	16
123	3e-06	20
124	3e-06	14
125	3e-06	10
126	3e-06	13
127	3e-06	7
128	3e-06	7
129	3e-06	4
130	3e-06	3
131	3e-06	6
132	3e-06	2
133	3e-06	4
134	3e-06	2
135	3e-06	1
136	3e-06	5
137	3e-06	3
138	2e-06	1
139	3e-06	1
140	3e-06	1
141	3e-06	3
142	3e-06	1
143	3e-06	3
144	3e-06	2
145	4e-06	1
146	2e-06	1
147	2e-06	1
148	3e-06	1
149	7e-06	1
150	9e-06	1
151	1.2e-05	1
152	2e-06	1
153	2e-06	2
154	2e-06	1
155	2e-06	4
156	2e-06	6
157	2e-06	12
158	2e-06	18
159	2e-06	2
160	2e-06	3
161	2e-06	5
162	2e-06	4
163	2e-06	9
164	2e-06	23
165	2e-06	16
166	2e-06	27
167	2e-06	29
168	2e-06	43
169	2e-06	20
170	2e-06	13
171	2e-06	34
172	2e-06	20
173	2e-06	26
174	2e-06	18
175	2e-06	18
176	2e-06	19
177	2e-06	9
178	2e-06	14
179	2e-06	11
180	2e-06	8
181	2e-06	11
182	2e-06	8
183	2e-06	8
184	2e-06	5
185	2e-06	4
186	2e-06	2
187	2e-06	2
188	3e-06	1
189	3e-06	4
190	3e-06	3
191	3e-06	10
192	3e-06	6
193	2e-06	1
194	2e-06	1
195	2e-06	7
196	2e-06	8
197	2e-06	8
198	2e-06	6
199	2e-06	7
200	1.1e-05	1
201	2e-06	1
202	7e-06	1
203	2e-06	1
204	2e-06	1
205	2e-06	2
206	2e-06	2
207	2e-06	2
208	2e-06	2
209	2e-06	1
210	2e-06	5
211	2e-06	8
212	2e-06	7
213	2e-06	2
214	2e-06	8
215	2e-06	4
216	2e-06	2
217	2e-06	10
218	2e-06	3
219	2e-06	1
220	2e-06	1
221	2e-06	2
222	2e-06	2
223	2e-06	1
224	2e-06	6
225	2e-06	3
226	2e-06	6
227	2e-06	6
228	2e-06	3
229	2e-06	1
230	2e-06	1
231	2e-06	5
232	2e-06	2
233	2e-06	2
234	2e-06	1
235	2e-06	2
236	2e-06	2
237	2e-06	2
238	2e-06	1
239	2e-06	3
240	2e-06	5
241	2e-06	7
242	2e-06	2
243	2e-06	3
244	2e-06	1
245	2e-06	3
246	2e-06	3
247	2e-06	3
248	2e-06	1
249	2e-06	2
250	2e-06	4
251	2e-06	1
252	2e-06	1
253	2e-06	5
254	2e-06	1
255	2e-06	3
256	2e-06	2
257	2e-06	1
258	2e-06	2
259	2e-06	2
260	2e-06	8
261	2e-06	3
262	2e-06	10
263	2e-06	1
264	2e-06	6
265	2e-06	1
266	2e-06	14
267	2e-06	1
268	2e-06	1
269	2e-06	1
270	2e-06	1
271	2e-06	2
272	2e-06	1
273	1e-05	1
274	1e-05	8
275	2e-06	1
276	2e-06	1
277	3e-06	1
278	3e-06	6
279	5e-06	1
280	5e-06	3
281	5e-06	4
282	9e-06	1
283	9e-06	7
284	9e-06	4
285	9e-06	3
286	9e-06	6
287	9e-06	6
288	9e-06	2
289	9e-06	3
290	1.2e-05	1
291	1.2e-05	3
292	2e-06	1
293	2e-06	3
294	3e-06	1
295	2e-06	1
296	3e-06	1
297	2e-06	1
298	2e-06	2
299	2e-06	1
300	2e-06	3
301	2e-06	2
302	4e-06	1
303	4e-06	2
304	1.6e-05	1
305	1.6e-05	2
306	1.6e-05	2
307	1.6e-05	2
308	2e-06	1
309	2e-06	1
310	2e-06	1
311	2e-06	1
312	2e-06	1
313	5e-06	1
314	5e-06	4
315	5e-06	2
316	2e-06	1
317	3e-06	1
318	3e-06	2
319	3e-06	2
320	3e-06	3
321	2e-06	1
322	2e-06	2
323	2e-06	1
324	2e-06	1
325	2e-06	1
326	2e-06	2
327	2e-06	1
328	2e-06	3
329	2e-06	2
330	2e-06	4
331	2e-06	3
332	2e-06	3
333	2e-06	5
334	2e-06	1
335	2e-06	2
336	2e-06	1
337	3e-06	1
338	3e-06	2
339	2e-06	1
340	2e-06	2
341	2e-06	2
342	2e-06	3
343	2e-06	2
344	5e-06	1
345	5e-06	2
346	5e-06	3
347	2e-06	1
348	4e-06	1
349	4e-06	2
350	6e-06	1
351	2e-06	1
352	1.1e-05	1
353	1.1e-05	3
354	6e-06	1
355	6e-06	6
356	4e-06	1
357	4e-06	2
358	2e-06	1
359	2e-06	1
360	2e-06	1
361	2e-06	4
362	2e-06	1
363	2e-06	1
364	2e-06	2
365	2e-06	4
366	2e-06	1
367	2e-06	2
368	1.4e-05	1
369	1.4e-05	2
370	8e-06	1
371	2e-06	1
372	2e-06	1
373	8e-06	1
374	2e-06	1
375	2e-06	2
376	2e-06	3
377	9e-06	1
378	9e-06	2
379	8e-06	1
380	8e-06	2
381	8e-06	2
382	8e-06	2
383	2e-06	1
384	2e-06	3
385	2e-06	2
386	2e-06	1
387	3e-06	1
388	3e-06	4
389	1e-05	1
390	1e-05	2
391	2e-06	1
392	2e-06	2
393	3e-06	1
394	2e-06	1
395	2e-06	1
396	9e-06	1
397	9e-06	1
398	5e-06	1
399	5e-06	3
400	8e-06	1
401	2e-06	1
402	2e-06	1
403	2e-06	1
404	2e-06	2
405	8e-06	1
406	8e-06	2
407	9e-06	1
408	4e-06	1
409	8e-06	1
410	8e-06	3
411	3e-06	1
412	3e-06	3
413	9e-06	1
414	9e-06	7
415	9e-06	5
416	9e-06	7
417	2e-06	1
418	2e-06	8
419	2e-06	6
420	2e-06	11
421	2e-06	7
422	2e-06	13
423	2e-06	1
424	2e-06	10
425	2e-06	1
426	2e-06	6
427	2e-06	2
428	2e-06	10
429	8e-06	1
430	8e-06	9
431	8e-06	9
432	8e-06	9
433	9e-06	1
434	9e-06	7
435	4e-06	1
436	4e-06	5
437	4e-06	3
438	4e-06	8
439	9e-06	1
440	9e-06	4
441	9e-06	2
442	9e-06	10
443	1.7e-05	1
444	1.7e-05	4
445	1.7e-05	1
446	1.7e-05	6
447	1e-05	1
448	1e-05	9
449	1e-05	3
450	1e-05	4
451	1e-05	4
452	1e-05	4
453	2e-06	1
454	2e-06	5
455	2e-06	5
456	2e-06	1
457	2e-06	1
458	1e-05	1
459	1e-05	4
460	7e-06	1
461	8e-06	1
462	2e-06	1
463	2e-06	2
464	2e-06	1
465	2e-06	1
466	2e-06	2
467	2e-06	5
468	2e-06	2
469	2e-06	3
470	1.1e-05	1
471	2e-06	1
472	4e-06	1
473	2e-06	1
474	2e-06	1
475	3e-06	1
476	2e-06	1
477	9e-06	1
478	1.3e-05	1
479	2e-06	1
480	2e-06	2
481	9e-06	1
482	9e-06	3
483	1e-05	1
484	2e-06	1
485	2e-06	4
486	2e-06	1
487	2e-06	1
488	2e-06	2
489	2e-06	3
490	9e-06	1
491	2e-06	1
492	8e-06	1
493	2e-06	1
494	2e-06	2
495	2e-06	2
496	2e-06	2
497	2e-06	1
498	2e-06	2
499	2e-06	3
500	2e-06	3
501	2e-06	5
502	2e-06	6
503	2e-06	3
504	9e-06	1
505	9e-06	8
506	3e-06	1
507	3e-06	9
508	3e-06	5
509	3e-06	16
510	3e-06	6
511	3e-06	10
512	3e-06	6
513	3e-06	14
514	3e-06	1
515	3e-06	17
516	3e-06	3
517	3e-06	9
518	3e-06	3
519	3e-06	15
520	3e-06	7
521	3e-06	14
522	3e-06	2
523	3e-06	10
524	3e-06	2
525	3e-06	10
526	3e-06	3
527	3e-06	8
528	3e-06	4
529	3e-06	10
530	3e-06	5
531	3e-06	7
532	3e-06	8
533	3e-06	2
534	3e-06	4
535	3e-06	11
536	3e-06	5
537	3e-06	10
538	3e-06	6
539	3e-06	7
540	3e-06	2
541	3e-06	8
542	3e-06	3
543	3e-06	9
544	3e-06	3
545	3e-06	9
546	9e-06	1
547	9e-06	14
548	9e-06	2
549	9e-06	6
550	3e-06	1
551	3e-06	7
552	3e-06	2
553	3e-06	4
554	3e-06	2
555	2e-06	1
556	2e-06	3
557	1.2e-05	1
558	1.2e-05	6
559	2e-06	1
560	7e-06	1
561	7e-06	3
562	7e-06	3
563	2e-06	1
564	2e-06	2
565	2e-06	3
566	3e-06	1
567	3e-06	5
568	3e-06	3
569	3e-06	2
570	2e-06	1
571	2e-06	3
572	2e-06	1
573	2e-06	3
574	2e-06	1
575	2e-06	2
576	2e-06	1
577	2e-06	2
578	6e-06	1
579	6e-06	3
580	6e-06	4
581	6e-06	2
582	2e-06	1
583	2e-06	1
584	2e-06	1
585	2e-06	4
586	2e-06	4
587	2e-06	1
588	2e-06	6
589	2e-06	1
590	2e-06	1
591	2e-06	2
592	5e-06	1
593	5e-06	2
594	5e-06	5
595	1.1e-05	1
596	1.1e-05	4
597	3e-06	1
598	3e-06	8
599	3e-06	2
600	3e-06	7
601	2e-06	1
602	2e-06	3
603	2e-06	1
604	2e-06	2
605	2e-06	2
606	2e-06	6
607	2e-06	1
608	2e-06	2
609	2e-06	8
610	2e-06	1
611	2e-06	7
612	2e-06	2
613	2e-06	5
614	2e-06	4
615	2e-06	5
616	2e-06	3
617	2e-06	8
618	2e-06	5
619	2e-06	6
620	2e-06	6
621	2e-06	7
622	2e-06	6
623	2e-06	9
624	2e-06	2
625	2e-06	11
626	2e-06	2
627	2e-06	13
628	3e-06	1
629	3e-06	12
630	8e-06	1
631	8e-06	9
632	8e-06	7
633	8e-06	8
634	8e-06	5
635	8e-06	9
636	8e-06	2
637	8e-06	14
638	2e-06	1
639	2e-06	5
640	2e-06	1
641	2e-06	4
642	2e-06	1
643	2e-06	9
644	8e-06	1
645	8e-06	9
646	8e-06	2
647	8e-06	6
648	8e-06	2
649	8e-06	4
650	8e-06	3
651	8e-06	7
652	3e-06	1
653	3e-06	7
654	3e-06	1
655	3e-06	6
656	2e-06	1
657	2e-06	1
658	2e-06	2
659	2e-06	3
660	2e-06	1
661	2e-06	6
662	2e-06	3
663	2e-06	6
664	2e-06	1
665	2e-06	2
666	2e-06	1
667	1.1e-05	1
668	1.1e-05	2
669	2e-06	1
670	2e-06	3
671	1.4e-05	1
672	2e-06	1
673	2e-06	1
674	2e-06	5
675	2e-06	1
676	2e-06	2
677	2e-06	2
678	2e-06	2
679	2e-06	1
680	2e-06	1
681	2e-06	1
682	2e-06	3
683	6e-06	1
684	6e-06	4
685	4e-06	1
686	4e-06	3
687	4e-06	2
688	1.2e-05	1
689	1.2e-05	2
690	1.2e-05	2
691	4e-06	1
692	2e-06	1
693	3e-06	1
694	3e-06	2
695	3e-06	2
696	6e-06	1
697	7e-06	1
698	7e-06	2
699	5e-06	1
700	6e-06	1
701	6e-06	3
702	6e-06	3
703	1.2e-05	1
704	1.2e-05	3
705	9e-06	1
706	2e-06	1
707	8e-06	1
708	8e-06	2
709	2e-06	1
710	2e-06	1
711	2e-06	1
712	2e-06	2
713	2e-06	2
714	2e-06	5
715	8e-06	1
716	8e-06	3
717	8e-06	1
718	8e-06	4
719	2e-06	1
720	2e-06	2
721	2e-06	3
722	2e-06	3
723	2e-06	1
724	2e-06	2
725	2e-06	3
726	2e-06	1
727	2e-06	1
728	2e-06	2
729	2e-06	2
730	2e-06	2
731	2e-06	4
732	2e-06	3
733	2e-06	4
734	2e-06	5
