#id_sr	time_taken	num_proccess
1	0.0	0
2	3.3e-05	1
3	2e-05	1
4	3e-06	1
5	3e-06	2
6	3e-06	4
7	3e-06	8
8	4e-06	1
9	4e-06	6
10	4e-06	8
11	4e-06	10
12	4e-06	34
13	4e-06	49
14	4e-06	52
15	4e-06	71
16	4e-06	79
17	4e-06	87
18	4e-06	113
19	4e-06	96
20	4e-06	84
21	4e-06	62
22	4e-06	42
23	4e-06	29
24	4e-06	14
25	4e-06	9
26	4e-06	10
27	4e-06	4
28	4e-06	2
29	5e-06	1
30	5e-06	2
31	1.8e-05	1
32	4e-06	1
33	4e-06	1
34	4e-06	2
35	4e-06	4
36	4e-06	8
37	4e-06	3
38	4e-06	9
39	4e-06	6
40	4e-06	23
41	4e-06	36
42	4e-06	48
43	4e-06	57
44	4e-06	58
45	4e-06	45
46	4e-06	41
47	4e-06	33
48	4e-06	22
49	4e-06	9
50	4e-06	3
51	4e-06	3
52	4e-06	6
53	4e-06	2
54	5e-06	1
55	5e-06	17
56	5e-06	18
57	5e-06	6
58	5e-06	3
59	5e-06	2
60	1.5e-05	1
61	3e-06	1
62	4e-06	1
63	4e-06	2
64	4e-06	4
65	4e-06	1
66	4e-06	4
67	4e-06	10
68	4e-06	2
69	4e-06	5
70	4e-06	4
71	4e-06	13
72	4e-06	21
73	4e-06	42
74	4e-06	38
75	4e-06	33
76	4e-06	35
77	4e-06	52
78	4e-06	42
79	4e-06	35
80	4e-06	20
81	4e-06	19
82	4e-06	9
83	4e-06	6
84	4e-06	4
85	4e-06	3
86	1.3e-05	1
87	1e-05	1
88	1.1e-05	1
89	1.1e-05	8
90	1.1e-05	6
91	1.1e-05	4
92	1.1e-05	2
93	1.1e-05	2
94	4e-06	1
95	4e-06	1
96	4e-06	2
97	4e-06	1
98	4e-06	1
99	4e-06	7
100	4e-06	3
101	4e-06	1
102	4e-06	2
103	4e-06	2
104	4e-06	2
105	1.9e-05	1
106	1.2e-05	1
107	4e-06	1
108	4e-06	2
