#id_sr	time_taken	num_proccess
1	0.0	0
2	2e-05	1
3	1.5e-05	1
4	3e-06	1
5	3e-06	2
6	3e-06	4
7	3e-06	8
8	3e-06	2
9	3e-06	5
10	3e-06	17
11	3e-06	26
12	3e-06	37
13	3e-06	47
14	3e-06	60
15	3e-06	50
16	3e-06	46
17	3e-06	37
18	3e-06	20
19	3e-06	10
20	3e-06	5
21	3e-06	4
22	3e-06	2
23	3e-06	4
24	1.8e-05	1
25	4e-06	1
26	4e-06	1
27	4e-06	2
28	4e-06	1
29	4e-06	2
30	4e-06	4
31	4e-06	5
32	4e-06	5
33	4e-06	12
34	4e-06	22
35	4e-06	24
36	4e-06	22
37	4e-06	20
38	4e-06	14
39	4e-06	3
40	4e-06	4
41	4e-06	8
42	4e-06	25
43	4e-06	10
44	4e-06	6
45	4e-06	4
46	1.7e-05	1
47	4e-06	1
48	4e-06	1
49	4e-06	1
50	4e-06	2
51	4e-06	3
52	4e-06	8
53	1.1e-05	1
54	1.1e-05	4
55	1.1e-05	4
56	1.1e-05	12
57	1.1e-05	16
58	1.1e-05	18
59	1.1e-05	26
60	1.1e-05	22
61	1.1e-05	22
62	1.1e-05	16
63	1.1e-05	9
64	1.1e-05	4
65	1.2e-05	1
66	1.2e-05	6
67	1.2e-05	2
68	1.2e-05	3
69	4e-06	1
70	4e-06	11
71	4e-06	3
72	1.8e-05	1
73	1e-05	1
74	4e-06	1
75	4e-06	1
76	4e-06	2
77	4e-06	2
78	4e-06	1
79	4e-06	1
80	4e-06	3
81	4e-06	2
82	4e-06	5
83	4e-06	4
84	4e-06	10
85	4e-06	6
86	4e-06	2
87	4e-06	3
88	4e-06	4
89	4e-06	4
90	4e-06	2
91	4e-06	2
92	4e-06	4
93	4e-06	3
94	4e-06	5
95	4e-06	4
96	4e-06	3
97	5e-06	1
98	5e-06	2
99	4e-06	1
100	4e-06	1
101	4e-06	2
102	4e-06	5
103	4e-06	1
104	4e-06	1
105	4e-06	5
106	4e-06	3
107	1.6e-05	1
108	1.1e-05	1
109	4e-06	1
110	4e-06	1
111	4e-06	3
112	4e-06	4
113	4e-06	1
114	3e-06	1
115	3e-06	1
116	3e-06	1
117	3e-06	6
118	3e-06	4
119	3e-06	5
120	3e-06	5
121	3e-06	5
122	3e-06	5
123	3e-06	5
124	3e-06	7
125	3e-06	6
126	3e-06	14
127	3e-06	9
128	3e-06	2
129	3e-06	3
130	5e-06	1
131	5e-06	5
132	5e-06	2
133	4e-06	1
134	4e-06	4
135	4e-06	2
136	4e-06	3
137	4e-06	1
138	4e-06	8
139	4e-06	2
140	4e-06	1
141	4e-06	2
142	4e-06	1
143	4e-06	1
144	4e-06	2
145	4e-06	2
146	4e-06	6
147	4e-06	7
148	4e-06	2
149	4e-06	2
150	4e-06	1
151	4e-06	9
152	4e-06	9
153	4e-06	1
154	4e-06	2
155	4e-06	4
156	4e-06	6
157	1.7e-05	1
158	1.7e-05	2
159	3e-06	1
160	4e-06	1
161	4e-06	1
162	4e-06	1
163	7e-06	1
164	7e-06	2
165	4e-06	1
166	4e-06	1
167	1.4e-05	1
168	6e-06	1
169	6e-06	2
170	1e-05	1
171	6e-06	1
172	1.3e-05	1
173	1.3e-05	2
174	1.1e-05	1
175	4e-06	1
176	4e-06	2
177	4e-06	1
178	4e-06	2
179	4e-06	4
180	4e-06	1
181	4e-06	2
182	4e-06	3
183	4e-06	2
184	4e-06	1
185	4e-06	3
186	4e-06	5
187	4e-06	3
188	3e-06	1
189	3e-06	1
190	3e-06	3
191	3e-06	2
192	3e-06	2
193	3e-06	4
194	4e-06	1
195	4e-06	3
196	1.4e-05	1
197	1.4e-05	2
198	4e-06	1
199	4e-06	2
200	4e-06	1
201	6e-06	1
202	1.1e-05	1
203	1.1e-05	2
204	1.1e-05	2
205	3e-06	1
206	1.3e-05	1
207	3e-06	1
208	1.7e-05	1
209	1.3e-05	1
210	9e-06	1
211	1.3e-05	1
212	4e-06	1
213	4e-06	1
214	1.5e-05	1
215	4e-06	1
216	6e-06	1
217	9e-06	1
218	1.8e-05	1
219	7e-06	1
220	4e-06	1
221	6e-06	1
222	6e-06	1
223	9e-06	1
224	1.3e-05	1
225	1.3e-05	2
226	8e-06	1
227	6e-06	1
228	3e-06	1
229	3e-06	5
230	3e-06	1
231	6e-06	1
232	6e-06	2
233	3e-06	1
234	3e-06	2
235	3e-06	3
236	3e-06	6
237	4e-06	1
238	4e-06	3
239	4e-06	1
240	4e-06	2
241	3e-06	1
242	3e-06	2
243	3e-06	3
244	4e-06	1
245	4e-06	2
246	4e-06	3
247	4e-06	1
248	4e-06	2
249	4e-06	2
250	4e-06	3
251	4e-06	2
252	4e-06	3
253	3e-06	1
254	3e-06	5
255	4e-06	1
256	4e-06	1
257	1.1e-05	1
258	1.3e-05	1
259	3e-06	1
260	3e-06	2
261	3e-06	1
262	3e-06	3
263	3e-06	1
264	1.5e-05	1
265	1.5e-05	4
266	1.5e-05	2
267	1.5e-05	5
268	4e-06	1
269	6e-06	1
270	6e-06	3
271	1.1e-05	1
272	1.1e-05	5
273	1.1e-05	6
274	1.1e-05	8
275	1.1e-05	3
276	3e-06	1
277	1e-05	1
278	1e-05	12
279	9e-06	1
280	9e-06	3
281	8e-06	1
282	8e-06	3
283	9e-06	1
284	9e-06	5
285	7e-06	1
286	7e-06	4
287	6e-06	1
288	6e-06	3
289	7e-06	1
290	7e-06	6
291	4e-06	1
292	4e-06	10
293	4e-06	2
294	4e-06	5
295	4e-06	2
296	4e-06	2
297	1.1e-05	1
298	4e-06	1
299	4e-06	2
300	4e-06	1
301	1e-05	1
302	4e-06	1
303	4e-06	2
304	4e-06	1
305	4e-06	1
306	4e-06	5
307	4e-06	3
308	4e-06	4
309	4e-06	2
310	4e-06	4
311	4e-06	2
312	4e-06	4
313	4e-06	1
314	4e-06	4
315	3e-06	1
316	3e-06	2
317	3e-06	5
318	4e-06	1
319	4e-06	3
320	4e-06	2
321	6e-06	1
322	3e-06	1
323	1.1e-05	1
324	1.1e-05	2
325	3e-06	1
326	3e-06	2
327	3e-06	1
328	3e-06	1
329	3e-06	4
330	4e-06	1
331	1.4e-05	1
332	3e-06	1
333	3e-06	2
334	1.1e-05	1
335	3e-06	1
336	1e-05	1
337	1e-05	2
338	1.1e-05	1
339	1.1e-05	2
340	1.1e-05	3
341	1.1e-05	4
342	3e-06	1
343	3e-06	1
344	1.1e-05	1
345	3e-06	1
346	3e-06	2
347	3e-06	2
348	4e-06	1
349	4e-06	2
350	4e-06	1
351	4e-06	1
352	4e-06	5
353	4e-06	8
354	4e-06	1
355	4e-06	8
356	4e-06	3
357	4e-06	2
358	4e-06	4
359	3e-06	1
360	5e-06	1
361	5e-06	6
362	5e-06	2
363	3e-06	1
364	3e-06	9
365	3e-06	2
366	3e-06	2
367	3e-06	2
368	3e-06	6
369	3e-06	3
370	4e-06	1
371	4e-06	4
372	3e-06	1
373	3e-06	4
374	4e-06	1
375	4e-06	2
376	4e-06	1
377	4e-06	5
378	4e-06	7
379	3e-06	1
380	4e-06	1
381	4e-06	2
382	4e-06	3
383	4e-06	3
384	4e-06	3
385	4e-06	1
386	1.1e-05	1
387	1.1e-05	3
388	1.1e-05	5
389	1.1e-05	4
390	1.1e-05	4
391	1.1e-05	3
392	4e-06	1
393	4e-06	4
394	4e-06	2
395	4e-06	6
396	4e-06	3
397	4e-06	2
398	4e-06	4
399	4e-06	6
400	4e-06	1
401	4e-06	2
402	3e-06	1
403	3e-06	2
404	3e-06	3
405	3e-06	3
406	3e-06	2
407	4e-06	1
408	4e-06	5
409	1.8e-05	1
410	1.8e-05	3
411	1.8e-05	2
412	1.8e-05	2
413	3e-06	1
414	3e-06	1
415	1.1e-05	1
416	1.1e-05	3
417	1.1e-05	2
418	3e-06	1
419	4e-06	1
420	4e-06	4
421	4e-06	3
422	3e-06	1
423	1.1e-05	1
424	1.1e-05	2
425	1.2e-05	1
426	1.2e-05	2
427	4e-06	1
428	4e-06	2
429	1e-05	1
430	1e-05	2
431	1e-05	2
432	1e-05	2
433	1e-05	2
434	1e-05	2
435	1e-05	3
436	1e-05	3
437	4e-06	1
438	1e-05	1
439	1e-05	3
440	4e-06	1
441	3e-06	1
442	1e-05	1
443	1e-05	3
444	3e-06	1
445	3e-06	1
446	3e-06	3
447	3e-06	3
448	3e-06	2
449	3e-06	1
450	3e-06	3
451	3e-06	4
452	1e-05	1
453	1e-05	2
454	9e-06	1
455	3e-06	1
456	3e-06	2
457	3e-06	2
458	3e-06	2
459	3e-06	1
460	3e-06	1
461	3e-06	4
462	3e-06	1
463	4e-06	1
464	4e-06	1
465	4e-06	2
466	4e-06	7
467	4e-06	2
468	4e-06	4
469	4e-06	1
470	4e-06	1
471	4e-06	2
472	4e-06	1
473	4e-06	2
474	4e-06	2
475	4e-06	2
476	4e-06	4
477	4e-06	3
478	4e-06	2
479	4e-06	2
480	4e-06	1
481	3e-06	1
482	3e-06	3
483	3e-06	5
484	3e-06	3
485	3e-06	1
486	3e-06	2
487	3e-06	3
488	3e-06	4
489	1.2e-05	1
490	1.2e-05	5
491	1.2e-05	2
492	1.2e-05	5
493	4e-06	1
494	4e-06	3
495	3e-06	1
496	3e-06	3
497	3e-06	1
498	3e-06	1
499	3e-06	2
500	3e-06	1
501	3e-06	4
502	3e-06	5
503	3e-06	1
504	1.6e-05	1
505	1.6e-05	3
506	1.6e-05	2
507	1.6e-05	3
508	2.2e-05	1
509	4e-06	1
510	8e-06	1
511	3e-06	1
512	7e-06	1
513	7e-06	2
514	3e-06	1
515	6e-06	1
516	6e-06	4
517	1.4e-05	1
518	1.1e-05	1
519	1.1e-05	3
520	1.1e-05	2
521	1.1e-05	3
522	3e-06	1
523	4e-06	1
524	3e-06	1
525	1.3e-05	1
526	1.3e-05	3
527	1.3e-05	2
528	4e-06	1
529	4e-06	1
530	4e-06	5
531	1.4e-05	1
532	1.4e-05	3
