#Version 3.11 (optimized)
#             constant              precise
#nodes\thread 	4     8    16       4     8    16
1000            7     4     4       9     6     6
3000           21    21    21      26    26    26
5000          128   125   125     142   140   143
10000         179   178   178     196   197   199
