#Grafico 1: 3.11 vs. 3.7 del paper. Idea: y=tiempo(seg.), x=cantidad de nodos. Lineas de colores: threads de cada version.
#Version 3.11 (no optimized)
#             constant              precise
#nodes\thread 	4     8    16       4     8    16
1000           11    13    12      13    13    13
3000           37    44    43      45    52    48
5000
10000         231   261   258     256   283   281 

