"nodes","p2","p4"
1000,7.43,8.52
10000,80.93,87.52
15000,124.4,136.1
20000,169.0,174.31
25000,219.38,228.23
30000,253.46,259.77
35000,307.9,320.44
40000,370.49,373.36
45000,409.52,426.64
50000,459.21,470.63
55000,489.68,497.43
60000,568.25,579.08
65000,583.5,599.5
70000,674.86,682.01
75000,711.02,750.11
80000,771.87,787.17
85000,832.52,801.87
90000,882.85,916.18
95000,932.31,955.97
100000,936.8,947.04
300000,3318.37,3253.4
500000,5655.71,5644.48
1000000,14442.71,13875.54
