"nodes","c2","c4","c8","c16","c24","p2","p4","p8","p16","p24"
1000,5.55,5.84,6.58,9.82,14.79,7.5,8.56,9.42,12.02,22.91
3000,18.4,19.53,21.7,28.03,51.56,23.75,26.74,28.85,37.1,69.54
10000,70.68,73.92,79.53,98.78,158.27,82.0,86.18,90.73,107.02,139.26
25000,223.09,216.77,218.77,254.6,342.24,215.61,227.34,247.17,282.3,371.61
50000,538.95,543.33,529.46,543.95,618.54,458.51,466.17,472.19,568.73,719.73
75000,890.48,866.97,886.69,892.05,985.69,687.19,706.77,754.99,806.93,1208.59
