"nodes","c2","c4","c8","c16","c24","p2","p4","p8","p16","p24"
1000,6.75,6.73,7.12,11.2,20.12,8.76,8.79,9.18,12.18,23.11
3000,20.74,21.16,21.51,27.16,53.56,28.32,27.26,28.06,37.76,52.62
10000,83.35,79.0,76.32,95.81,155.29,96.2,89.9,88.16,108.99,179.43
25000,248.73,226.69,217.99,243.16,346.77,256.37,233.55,232.87,273.71,391.54
50000,626.39,540.16,512.64,568.85,642.12,523.99,485.24,476.85,566.9,720.37
75000,1025.47,879.45,833.61,950.52,1020.68,813.52,736.75,774.56,825.98,1134.39
