"nodes","c2","c4","c8","c16","c24","p2","p4","p8","p16","p24"
1000,5.68,6.34,7.1,10.04,20.1,7.52,8.61,9.38,13.43,19.44
3000,18.65,19.61,21.43,26.72,46.46,23.59,26.67,28.41,37.88,62.1
5000,33.34,35.3,41.2,49.76,79.67,41.24,44.79,46.98,63.76,112.39
10000,70.92,74.21,76.88,100.76,137.88,81.7,85.39,91.33,106.26,141.63
25000,222.39,216.31,222.3,243.49,345.21,213.65,228.3,233.34,274.79,346.06
50000,538.48,524.43,556.25,549.42,630.79,451.47,466.31,480.3,555.93,723.68
75000,891.75,931.94,910.47,862.82,1015.5,693.07,708.58,772.19,877.33,1199.67
100000,1232.15,1214.96,1185.25,1200.11,1255.49,942.1,927.94,1008.58,1051.82,1254.32
