"nodes","p2","p4","p8","p16","p24"
10000,70.45,69.73,68.69,72.84,76.71
50000,407.43,396.98,385.1,402.21,432.35
100000,870.37,833.08,800.23,810.12,848.58
300000,3087.31,2937.09,2849.49,2851.35,2884.41
500000,5738.62,5332.45,5111.04,5150.76,5454.2
1000000,14261.04,13248.52,13520.8,13523.48,12970.7
