#Non bencharked timings
#constant first, precise last
1000	3.88	4.04	4.1	4.59	5.28	5.62	5.76	5.94	6.6	7.44	
3000	14.2	13.91	14.13	15.03	16.85	18.86	19.2	19.18	21.02	23.44	
5000	25.88	25.73	25.82	27.36	29.95	33.27	33.34	33.01	35.85	39.46	
10000	59.32	57.39	56.35	59.12	63.65	70.35	68.46	66.83	71.7	76.94	
25000	195.71	184.51	179.43	182.36	187.32	193.61	185.96	183.62	189.83	200.83	
50000	497.31	466.24	449.43	443.15	444.92	402.82	388.33	385.73	391.42	417.05	
75000	826.39	777.1	739.79	728.84	731.94	614.54	590.71	586.28	599.0	630.77	
100000	1176.08	1086.91	1019.33	989.38	992.26	853.22	817.82	803.11	801.78	830.56	
