"nodes","c2","c4","c8","c16","c24","p2","p4","p8","p16","p24"
1000,7.05,6.7,7.27,10.48,21.33,9.12,8.83,9.61,12.43,24.74
3000,21.99,20.91,21.38,28.43,55.58,28.57,27.57,28.99,40.79,72.87
10000,79.62,76.97,77.49,99.24,175.42,92.86,88.91,89.56,114.74,189.27
25000,233.28,225.1,218.77,261.75,385.88,245.96,232.13,236.96,295.03,463.94
50000,562.29,522.06,513.55,556.94,758.31,513.03,478.83,484.66,576.1,890.51
75000,938.39,848.08,835.54,924.71,1163.93,776.81,712.79,725.54,890.08,1321.75
